name,year,Price,kms_driven,fuel_type,company
Honda City,2015,499999,55000,Petrol,Honda
Hyundai Accent Executive,2009,165000,48000,Petrol,Hyundai
Maruti Suzuki Baleno,2016,498000,22000,Petrol,Maruti
Tata Zest XE,2018,480000,103553,Diesel,Tata
Maruti Suzuki Dzire,2017,488000,80000,Diesel,Maruti
Tata Sumo Gold,2014,250000,99000,Diesel,Tata
Toyota Corolla Altis,2010,220000,58000,Petrol,Toyota
Maruti Suzuki Eeco,2013,290000,70000,LPG,Maruti
Toyota Fortuner 3.0,2015,1525000,120000,Diesel,Toyota
Mahindra XUV500 W6,2013,548900,49800,Diesel,Mahindra
Tata Tigor Revotron,2019,650000,100,Diesel,Tata
Maruti Suzuki 800,2001,55000,81876,Petrol,Maruti
Maruti Suzuki Ertiga,2015,550000,75000,Petrol,Maruti
Maruti Suzuki Versa,2004,90000,50000,Petrol,Maruti
Honda Mobilio S,2014,399000,44000,Diesel,Honda
Maruti Suzuki Ertiga,2016,730000,55000,Diesel,Maruti
Maruti Suzuki Vitara,2017,725000,36000,Diesel,Maruti
Hyundai Verna 1.6,2016,195000,56000,Diesel,Hyundai
Maruti Suzuki Swift,2007,130000,62000,Petrol,Maruti
Toyota Fortuner 3.0,2015,1525000,120000,Diesel,Toyota
Maruti Suzuki Omni,2014,190000,6020,Petrol,Maruti
Honda Amaze,2013,250000,55700,Diesel,Honda
Tata Indica,2005,80000,42000,Petrol,Tata
Hyundai Santro Xing,2003,120000,50000,Petrol,Hyundai
Maruti Suzuki Zen,2010,149000,35000,Petrol,Maruti
Maruti Suzuki Wagon,2014,250000,18500,Petrol,Maruti
Maruti Suzuki Wagon,2007,120000,7000,Petrol,Maruti
Honda Brio VX,2017,450000,11000,Petrol,Honda
Maruti Suzuki Zen,2003,99999,53000,Petrol,Maruti
Maruti Suzuki Zen,2008,135000,23000,Petrol,Maruti
Maruti Suzuki Wagon,2016,225000,35500,Diesel,Maruti
Maruti Suzuki Alto,2010,99000,22134,Petrol,Maruti
Renault Kwid RXT,2019,370000,1000,Petrol,Renault
Tata Nano Lx,2010,52000,9000,Petrol,Tata
Jaguar XE XE,2016,2800000,8500,Petrol,Jaguar
Hyundai Eon Magna,2014,190000,35000,Petrol,Hyundai
Honda City 1.5,2014,499000,22000,Petrol,Honda
Hindustan Motors Ambassador,2002,90000,25000,Diesel,Hindustan
Maruti Suzuki Ritz,2010,149000,40000,Petrol,Maruti
Hyundai Grand i10,2017,400000,20000,Petrol,Hyundai
Hyundai Eon D,2016,120000,87000,Petrol,Hyundai
Maruti Suzuki Swift,2015,250000,55000,Petrol,Maruti
Maruti Suzuki Wagon,2017,375000,23000,Petrol,Maruti
Honda Amaze 1.2,2014,381000,6000,Petrol,Honda
Maruti Suzuki Estilo,2013,180000,65000,Petrol,Maruti
Maruti Suzuki Vitara,2016,580000,25000,Diesel,Maruti
Maruti Suzuki Eeco,2015,278000,39000,Petrol,Maruti
Hyundai Creta 1.6,2016,1000000,8000,Petrol,Hyundai
Mahindra Scorpio Vlx,2013,690000,75000,Diesel,Mahindra
Maruti Suzuki Ertiga,2012,480000,51000,Diesel,Maruti
Mitsubishi Lancer 1.8,2006,85000,50000,Petrol,Mitsubishi
Maruti Suzuki Maruti,2001,40000,75000,Petrol,Maruti
Maruti Suzuki Alto,2015,90000,55800,Petrol,Maruti
Hyundai Grand i10,2015,340000,53000,Petrol,Hyundai
Hyundai Eon D,2018,260000,25000,Petrol,Hyundai
Ford Fiesta SXi,2009,250000,56400,Petrol,Ford
Maruti Suzuki Ritz,2010,180000,72160,Diesel,Maruti
Hyundai Verna Fluidic,2012,350000,10000,Diesel,Hyundai
Maruti Suzuki Wagon,2006,90001,48000,Petrol,Maruti
Maruti Suzuki Estilo,2007,115000,36000,Petrol,Maruti
Audi A6 2.0,2012,1599000,11500,Diesel,Audi
Maruti Suzuki Wagon,2003,130000,133000,Petrol,Maruti
Maruti Suzuki Wagon,2009,159000,27000,Petrol,Maruti
Maruti Suzuki Wagon,2009,160000,35000,Petrol,Maruti
Maruti Suzuki Alto,2010,110000,55000,Petrol,Maruti
Maruti Suzuki Baleno,2016,425000,40000,Petrol,Maruti
Hyundai Verna 1.6,2019,900000,2000,Petrol,Hyundai
Maruti Suzuki Swift,2009,150000,45000,Petrol,Maruti
Hyundai Getz Prime,2009,110000,20000,Petrol,Hyundai
Hyundai Santro,2000,51999,88000,Petrol,Hyundai
Hyundai Getz Prime,2009,115000,20000,Petrol,Hyundai
Chevrolet Beat PS,2012,215000,65422,Diesel,Chevrolet
Ford EcoSport Trend,2017,580000,10000,Petrol,Ford
Maruti Suzuki Dzire,2013,380000,35000,Petrol,Maruti
Hyundai Fluidic Verna,2013,350000,117000,Diesel,Hyundai
Tata Indica V2,2005,35000,150000,Diesel,Tata
BMW X1 xDrive20d,2011,1150000,72000,Diesel,BMW
Hyundai i20 Asta,2010,300000,10750,Petrol,Hyundai
Honda City 1.5,2009,269000,55000,Petrol,Honda
Tata Nano,2013,60000,6800,Petrol,Tata
Chevrolet Cruze LTZ,2014,400000,41000,Diesel,Chevrolet
Hyundai Verna Fluidic,2015,430000,73000,Diesel,Hyundai
Maruti Suzuki Swift,2011,140000,65000,Diesel,Maruti
Mahindra XUV500 W6,2014,8500003,45000,Diesel,Mahindra
Mahindra XUV500 W10,2018,1299000,40000,Diesel,Mahindra
Maruti Suzuki Alto,2014,199000,37000,Petrol,Maruti
Hyundai Accent GLE,2006,90000,55000,Petrol,Hyundai
Force Motors One,2013,550000,140000,Diesel,Force
Maruti Suzuki Alto,2019,265000,9800,Petrol,Maruti
Chevrolet Spark 1.0,2011,100000,27000,Petrol,Chevrolet
Hyundai i10,2009,215000,27000,Petrol,Hyundai
Toyota Etios Liva,2012,380000,20000,Diesel,Toyota
Renault Duster 85PS,2013,401919,57923,Diesel,Renault
Chevrolet Enjoy,2014,490000,30201,Diesel,Chevrolet
Maruti Suzuki Alto,2017,280000,6200,Petrol,Maruti
BMW 5 Series,2009,650000,37518,Petrol,BMW
Toyota Etios Liva,2014,160000,24652,Petrol,Toyota
Mahindra Jeep MM,2004,424000,383,Diesel,Mahindra
Chevrolet Beat LS,2016,225000,95000,Diesel,Chevrolet
Chevrolet Cruze LTZ,2011,350000,35000,Diesel,Chevrolet
Jeep Wrangler Unlimited,2015,950000,3528,Diesel,Jeep
Maruti Suzuki Ertiga,2013,485000,52500,Diesel,Maruti
Hyundai Verna VGT,2010,205000,47900,Diesel,Hyundai
Maruti Suzuki Omni,2012,160000,14000,Petrol,Maruti
Maruti Suzuki Celerio,2018,310000,37000,Petrol,Maruti
Tata Zest Quadrajet,2017,180000,90000,Diesel,Tata
Mahindra XUV500 W6,2013,549900,52800,Diesel,Mahindra
Tata Indigo CS,2016,150000,104000,Diesel,Tata
Hyundai i10 Era,2011,175000,30000,Petrol,Hyundai
Tata Indigo eCS,2014,95000,195000,Diesel,Tata
Tata Indigo LX,2016,230000,104000,Diesel,Tata
Tata Indigo eCS,2016,230000,104000,Diesel,Tata
Tata Indigo Marina,2004,180000,70000,Diesel,Tata
Hyundai Xcent SX,2015,400000,43000,Diesel,Hyundai
Hyundai Eon Magna,2013,185000,23000,Petrol,Hyundai
Renault Duster 85,2015,385000,51000,Diesel,Renault
Maruti Suzuki Alto,2009,90000,62000,Petrol,Maruti
Tata Nano LX,2010,32000,48008,Petrol,Tata
Renault Duster 110,2013,435000,39000,Diesel,Renault
Maruti Suzuki Wagon,2010,225000,40000,Petrol,Maruti
Maruti Suzuki Swift,2006,189700,48247,Petrol,Maruti
Maruti Suzuki Ertiga,2012,389700,39000,Diesel,Maruti
Maruti Suzuki Swift,2014,365000,23000,Petrol,Maruti
Maruti Suzuki Alto,2017,360000,9400,Petrol,Maruti
Hyundai i20 Magna,2010,210000,50000,Petrol,Hyundai
Hyundai i10 Magna,2009,170000,75000,Petrol,Hyundai
Tata Zest XE,2017,380000,70000,Diesel,Tata
Mahindra Xylo E8,2009,295000,64000,Diesel,Mahindra
Toyota Corolla Altis,2010,185000,55000,Petrol,Toyota
Tata Manza Aqua,2014,160000,200000,Diesel,Tata
Renault Kwid 1.0,2018,290000,2137,Petrol,Renault
Tata Venture EX,2013,100000,30000,Diesel,Tata
Maruti Suzuki Swift,2014,315000,44000,Petrol,Maruti
Skoda Octavia Classic,2006,114990,65000,Diesel,Skoda
Maruti Suzuki Omni,2012,120000,160000,LPG,Maruti
Chevrolet Beat Diesel,2011,125000,56000,Diesel,Chevrolet
Tata Sumo Gold,2012,210000,75000,Diesel,Tata
Hyundai Verna 1.6,2018,855000,42000,Diesel,Hyundai
Tata Sumo Gold,2012,210000,75000,Diesel,Tata
Mahindra Scorpio 2.6,2007,260000,56000,Diesel,Mahindra
Maruti Suzuki Zen,2002,95000,10544,Petrol,Maruti
Maruti Suzuki Swift,2011,255000,64000,Petrol,Maruti
Mahindra Scorpio SLX,2008,300000,70000,Diesel,Mahindra
Hyundai Grand i10,2014,340000,25000,Petrol,Hyundai
Hyundai Elite i20,2017,550000,15000,Petrol,Hyundai
Ford Ikon 1.6,2003,60000,50000,Petrol,Ford
Toyota Innova 2.5,2011,750000,147000,Diesel,Toyota
Nissan Sunny XL,2011,230000,52000,Petrol,Nissan
Chevrolet Beat LT,2012,130000,90001,Diesel,Chevrolet
Maruti Suzuki Alto,2017,270000,21000,Petrol,Maruti
Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
Toyota Innova 2.0,2012,600000,80000,Diesel,Toyota
Maruti Suzuki Swift,2010,190000,74000,Diesel,Maruti
Hyundai Elite i20,2015,500000,22000,Petrol,Hyundai
Mahindra XUV500 W10,2016,1065000,41000,Diesel,Mahindra
Volkswagen Polo Trendline,2015,350000,25000,Diesel,Volkswagen
Toyota Etios Liva,2012,350000,85000,Diesel,Toyota
Mahindra TUV300 T4,2016,540000,29500,Diesel,Mahindra
Hyundai Elite i20,2015,470000,30000,Petrol,Hyundai
Hyundai Santro Xing,2014,179000,57000,Petrol,Hyundai
Maruti Suzuki Zen,2003,48000,60000,Petrol,Maruti
Maruti Suzuki Ciaz,2016,650000,50000,Petrol,Maruti
Hyundai Eon Era,2013,190000,39700,Petrol,Hyundai
Hyundai Elantra 1.8,2012,500000,65000,Petrol,Hyundai
Maruti Suzuki Swift,2010,270000,67000,Diesel,Maruti
Maruti Suzuki Zen,2008,125000,46000,Petrol,Maruti
Hyundai Eon Era,2012,188000,38000,Petrol,Hyundai
Hyundai Grand i10,2016,380000,27000,Petrol,Hyundai
Hyundai Verna Fluidic,2011,365000,43000,Diesel,Hyundai
Ford EcoSport Trend,2014,465000,47000,Petrol,Ford
Hyundai i20 Magna,2011,240000,42000,Petrol,Hyundai
Chevrolet Beat Diesel,2016,179999,19336,Diesel,Chevrolet
Tata Indica eV2,2015,140000,60105,Diesel,Tata
Jaguar XF 2.2,2013,2190000,29000,Diesel,Jaguar
Audi Q5 2.0,2014,2390000,34000,Diesel,Audi
BMW 3 Series,2011,1075000,35000,Diesel,BMW
Maruti Suzuki Swift,2015,475000,22000,Petrol,Maruti
BMW X1 sDrive20d,2012,1025000,41000,Diesel,BMW
Maruti Suzuki S,2016,615000,21000,Diesel,Maruti
Maruti Suzuki Ertiga,2013,475000,48000,Diesel,Maruti
Maruti Suzuki Alto,2016,270000,38000,Petrol,Maruti
Honda City SV,2014,475000,34000,Diesel,Honda
Volkswagen Vento Comfortline,2011,240000,45933,Petrol,Volkswagen
Honda City 1.5,2005,120000,68000,Petrol,Honda
Audi A4 2.0,2016,1900000,44000,Diesel,Audi
Mahindra KUV100,2017,360000,35000,Diesel,Mahindra
Tata Zest XE,2018,450000,102563,Diesel,Tata
Mahindra XUV500 W8,2015,900000,28600,Diesel,Mahindra
Maruti Suzuki Swift,2017,650000,41800,Diesel,Maruti
Tata Sumo Gold,2014,275000,116000,Diesel,Tata
Maruti Suzuki Swift,2009,210000,59000,Petrol,Maruti
Mahindra Scorpio 2.6,2004,175000,58000,Diesel,Mahindra
Maruti Suzuki Omni,2009,85000,45000,Petrol,Maruti
Mitsubishi Pajero Sport,2015,1490000,42590,Diesel,Mitsubishi
Renault Duster,2014,800000,7400,Diesel,Renault
Volkswagen Jetta Comfortline,2009,450000,54500,Diesel,Volkswagen
Maruti Suzuki Ertiga,2012,1000000,200000,Diesel,Maruti
Audi A4 2.0,2013,1510000,27000,Diesel,Audi
Volvo S80 Summum,2015,1850000,42000,Diesel,Volvo
Toyota Corolla Altis,2014,790000,29000,Petrol,Toyota
Mitsubishi Pajero Sport,2015,1725000,37000,Diesel,Mitsubishi
Chevrolet Beat LT,2012,135000,36000,Petrol,Chevrolet
BMW X1,2011,1000000,34000,Diesel,BMW
Datsun Redi GO,2018,299999,7000,Petrol,Datsun
Mercedes Benz C,2009,1225000,76000,Diesel,Mercedes
Mahindra Scorpio SLX,2004,175000,60000,Diesel,Mahindra
Volkswagen Vento Comfortline,2011,200000,95000,Diesel,Volkswagen
Tata Indigo CS,2017,270000,50000,Diesel,Tata
Ford Figo Petrol,2019,525000,0,Petrol,Ford
Honda City ZX,2006,180000,50000,Petrol,Honda
Maruti Suzuki Wagon,2008,140000,68000,Petrol,Maruti
Ford EcoSport Trend,2014,400000,16000,Petrol,Ford
Maruti Suzuki Swift,2016,499000,51000,Diesel,Maruti
Maruti Suzuki Omni,2009,85000,56000,Petrol,Maruti
Maruti Suzuki Zen,2004,70000,100000,Petrol,Maruti
Renault Duster RxL,2015,550000,36000,Petrol,Renault
Maruti Suzuki Swift,2014,370000,11523,Petrol,Maruti
Maruti Suzuki Baleno,2018,690000,1000,Petrol,Maruti
Honda WR V,2009,250000,60000,Petrol,Honda
Tata Indigo CS,2016,110000,85000,Diesel,Tata
Renault Duster 110,2013,490000,38600,Diesel,Renault
Mahindra Scorpio LX,2009,320000,95500,Diesel,Mahindra
Maruti Suzuki Zen,2004,68000,56000,Petrol,Maruti
Maruti Suzuki Wagon,2014,130000,37458,Petrol,Maruti
Maruti Suzuki SX4,2016,970000,85960,Diesel,Maruti
Audi A3 Cabriolet,2015,3100000,12516,Petrol,Audi
Hyundai Eon D,2018,280000,35000,Petrol,Hyundai
Maruti Suzuki Zen,2009,125000,0,Petrol,Maruti
Mahindra Scorpio SLX,2008,285000,80000,Diesel,Mahindra
Hyundai Santro AE,2011,165000,45000,Petrol,Hyundai
Maruti Suzuki Swift,2009,250000,51000,Diesel,Maruti
Mahindra Scorpio S4,2015,865000,30000,Diesel,Mahindra
Mahindra Xylo D2,2011,390000,48000,Diesel,Mahindra
Hyundai Santro,2003,60000,51000,Petrol,Hyundai
Chevrolet Beat LT,2015,215000,90000,Diesel,Chevrolet
Maruti Suzuki Swift,2015,475000,43000,Diesel,Maruti
Mahindra XUV500 W8,2015,899000,53000,Diesel,Mahindra
Toyota Fortuner 3.0,2013,1499000,97000,Diesel,Toyota
Maruti Suzuki Alto,2013,240000,20000,Petrol,Maruti
Hyundai Getz GLE,2007,99000,55000,Petrol,Hyundai
Maruti Suzuki Swift,2014,260000,120000,Diesel,Maruti
Hyundai Creta 1.6,2019,1200000,0,Petrol,Hyundai
Hyundai Santro Xing,2007,115000,46000,Petrol,Hyundai
Hyundai Santro Xing,2009,88000,43200,Petrol,Hyundai
Mahindra Xylo D2,2011,390000,56000,Diesel,Mahindra
Hyundai Santro Xing,2007,135000,42000,Petrol,Hyundai
Tata Indica V2,2009,90000,30600,Diesel,Tata
Hyundai i10 Sportz,2011,220000,38000,Petrol,Hyundai
Hyundai Grand i10,2017,424999,2550,Petrol,Hyundai
Hyundai Santro Xing,2007,135000,47000,Petrol,Hyundai
Honda City 1.5,2005,95000,41000,Petrol,Honda
Nissan Micra XL,2017,430000,62500,Diesel,Nissan
Honda City 1.5,2005,115000,68000,Petrol,Honda
Maruti Suzuki Alto,2015,215000,50000,Petrol,Maruti
Maruti Suzuki Wagon,2004,53000,69000,Petrol,Maruti
Maruti Suzuki Ertiga,2012,500000,48000,Diesel,Maruti
Tata Indica eV2,2012,85000,55000,Diesel,Tata
Maruti Suzuki Omni,2013,165000,25000,Petrol,Maruti
Hyundai Eon Era,2014,200000,28400,Petrol,Hyundai
Hyundai Eon,2014,200000,28000,Petrol,Hyundai
Maruti Suzuki Swift,2015,425000,42000,Diesel,Maruti
Hyundai Verna 1.6,2012,600000,29000,Diesel,Hyundai
Chevrolet Tavera LS,2005,130000,68485,Diesel,Chevrolet
Tata Tiago Revotron,2018,430000,3500,Petrol,Tata
Tata Tiago Revotorq,2019,568500,0,Petrol,Tata
Maruti Suzuki Zen,2006,71000,32000,Petrol,Maruti
Mahindra KUV100 K8,2018,560000,8000,Diesel,Mahindra
Ford EcoSport Titanium,2014,590000,34000,Diesel,Ford
Hindustan Motors Ambassador,1995,750000,37000,Petrol,Hindustan
Ford Fusion 1.4,2007,125000,85455,Diesel,Ford
Hyundai Santro Xing,2007,135000,46000,Petrol,Hyundai
Hyundai Santro,2002,60000,47000,Petrol,Hyundai
Fiat Linea Emotion,2009,120000,64000,Petrol,Fiat
Ford Ikon 1.3,2008,95000,46000,Petrol,Ford
Maruti Suzuki Omni,2017,240000,8000,Petrol,Maruti
Tata Indica V2,2012,115000,64000,Diesel,Tata
Mahindra Scorpio S4,2015,795000,63000,Diesel,Mahindra
Hyundai Santro Xing,2007,55000,65000,Petrol,Hyundai
Mahindra Xylo D2,2009,300000,62000,Diesel,Mahindra
Hyundai Grand i10,2014,320000,41000,Petrol,Hyundai
Maruti Suzuki Alto,2015,265000,14000,Petrol,Maruti
Toyota Corolla,2006,160000,40000,Petrol,Toyota
Hyundai Eon Magna,2017,300000,1600,Petrol,Hyundai
Tata Sumo Grande,2010,130000,90000,Diesel,Tata
Maruti Suzuki Swift,2011,250000,58000,Diesel,Maruti
Volkswagen Polo Highline1.2L,2013,380000,27000,Petrol,Volkswagen
Maruti Suzuki Alto,2003,42000,60000,Petrol,Maruti
Tata Tiago Revotron,2017,400000,31000,Petrol,Tata
Maruti Suzuki Swift,2009,120000,90000,Diesel,Maruti
Maruti Suzuki Swift,2009,120000,90000,Diesel,Maruti
Tata Indigo eCS,2016,130000,150000,Diesel,Tata
Chevrolet Beat LS,2014,189000,31000,Diesel,Chevrolet
Mahindra Xylo E8,2011,365000,43000,Diesel,Mahindra
Hyundai Eon D,2013,170000,20000,Petrol,Hyundai
Tata Sumo Gold,2013,215000,100000,Petrol,Tata
Tata Nano,2013,60000,7000,Petrol,Tata
Hyundai Elite i20,2017,599999,31000,Petrol,Hyundai
Hyundai i10 Magna,2009,400000,33000,Petrol,Hyundai
Hyundai Creta,2016,900000,60000,Diesel,Hyundai
Volkswagen Polo,2013,299999,48000,Diesel,Volkswagen
Maruti Suzuki Dzire,2014,374999,33000,Petrol,Maruti
Tata Bolt XM,2015,600000,15000,Petrol,Tata
Maruti Suzuki Alto,2005,70000,47000,Petrol,Maruti
Maruti Suzuki Alto,2005,100000,40000,Petrol,Maruti
Maruti Suzuki Ritz,2010,150000,38000,Diesel,Maruti
Maruti Suzuki Alto,2017,225000,12500,Petrol,Maruti
Maruti Suzuki Dzire,2009,210000,42000,Petrol,Maruti
Hyundai i20 Asta,2014,425000,31000,Petrol,Hyundai
Maruti Suzuki Swift,2008,162000,60000,Diesel,Maruti
Tata Indica V2,2005,60000,80000,Diesel,Tata
Mahindra Scorpio VLX,2014,650000,77000,Diesel,Mahindra
Toyota Innova 2.5,2012,750000,75000,Diesel,Toyota
Mahindra Xylo E8,2010,375000,40000,Diesel,Mahindra
Hyundai i20 Magna,2011,230000,47000,Petrol,Hyundai
Maruti Suzuki Omni,2000,35999,60000,Petrol,Maruti
Mahindra KUV100,2016,380000,26500,Petrol,Mahindra
Mahindra KUV100 K8,2019,560000,2875,Petrol,Mahindra
Datsun Go Plus,2016,285000,13900,Petrol,Datsun
Ford Endeavor 4x4,2019,2900000,9000,Diesel,Ford
Tata Indica V2,2005,39999,80000,Diesel,Tata
Hyundai Santro Xing,2006,85000,60000,Petrol,Hyundai
Maruti Suzuki Wagon,2016,395000,20000,Petrol,Maruti
Maruti Suzuki Swift,2008,175000,58000,Diesel,Maruti
Maruti Suzuki Alto,2019,400000,1500,Petrol,Maruti
Toyota Innova 2.5,2011,750000,75000,Diesel,Toyota
Maruti Suzuki Alto,2016,250000,2450,Petrol,Maruti
Maruti Suzuki Alto,2019,425000,1625,Petrol,Maruti
Volkswagen Polo Highline1.2L,2017,525000,45000,Petrol,Volkswagen
Mahindra Logan,2009,130000,65000,Diesel,Mahindra
Maruti Suzuki 800,2000,30000,33400,Petrol,Maruti
Mahindra Scorpio,2011,475000,60123,Diesel,Mahindra
Chevrolet Sail 1.2,2013,300000,28000,Petrol,Chevrolet
Hyundai Santro AE,2003,60000,70000,Petrol,Hyundai
Maruti Suzuki Wagon,2006,100000,7000,Petrol,Maruti
Hyundai Eon,2018,260000,25000,Petrol,Hyundai
Tata Manza,2015,100000,100000,Diesel,Tata
Toyota Etios G,2013,265000,42000,Petrol,Toyota
Hyundai Getz Prime,2009,115000,20000,Petrol,Hyundai
Toyota Qualis,2003,180000,100000,Diesel,Toyota
Hyundai Santro Xing,2004,45000,137495,Petrol,Hyundai
Tata Indica eV2,2016,50500,91200,Diesel,Tata
Honda City 1.5,2009,270000,55000,Petrol,Honda
Tata Zest XE,2017,290000,120000,Diesel,Tata
Mahindra Quanto C4,2013,325000,63000,Diesel,Mahindra
Tata Indigo eCS,2016,160000,104000,Diesel,Tata
Maruti Suzuki Swift,2016,350000,146000,Diesel,Maruti
Hyundai Elite i20,2011,290000,40000,Petrol,Hyundai
Hyundai i20 Select,2011,290000,40000,Petrol,Hyundai
Chevrolet Tavera Neo,2007,465000,100800,Diesel,Chevrolet
Maruti Suzuki Dzire,2016,325000,150000,Diesel,Maruti
Hyundai Elite i20,2018,510000,2100,Petrol,Hyundai
Honda City VX,2016,860000,95000,Petrol,Honda
Maruti Suzuki Dzire,2016,450000,2500,Diesel,Maruti
Hyundai Getz,2006,125000,80000,Petrol,Hyundai
Mercedes Benz C,2006,500001,15000,Petrol,Mercedes
Maruti Suzuki Alto,2005,95000,65000,Petrol,Maruti
Maruti Suzuki Swift,2009,250000,51000,Diesel,Maruti
Skoda Fabia,2009,110000,45000,Petrol,Skoda
Maruti Suzuki Ritz,2011,270000,50000,Petrol,Maruti
Tata Indica V2,2009,110000,30000,Diesel,Tata
Toyota Corolla Altis,2009,300000,132000,Petrol,Toyota
Tata Zest XM,2018,260000,27000,Diesel,Tata
Mahindra Quanto C8,2013,390000,40000,Diesel,Mahindra
