name,year,Price,kms_driven,fuel_type,company
Maruti Suzuki Ertiga,2016,575000,29000,Petrol,Maruti
Maruti Suzuki Ertiga,2013,485000,42000,Diesel,Maruti
Maruti Suzuki Alto,2012,155000,14000,Petrol,Maruti
Hyundai Grand i10,2014,345000,49000,Diesel,Hyundai
Honda Amaze 1.2,2014,325000,42000,Petrol,Honda
Hyundai i20 Asta,2012,329500,36200,Diesel,Hyundai
Ford Figo Diesel,2014,195000,50000,Diesel,Ford
Maruti Suzuki Eeco,2015,251111,55000,Petrol,Maruti
Maruti Suzuki Ertiga,2014,569999,45000,Petrol,Maruti
Maruti Suzuki Esteem,2007,69999,51000,Petrol,Maruti
Maruti Suzuki Ritz,2014,299999,19000,Petrol,Maruti
Maruti Suzuki Dzire,2009,220000,46000,Petrol,Maruti
Maruti Suzuki Ritz,2013,399999,33000,Diesel,Maruti
Maruti Suzuki Swift,2013,372000,13349,Petrol,Maruti
Maruti Suzuki Dzire,2015,450000,104000,Diesel,Maruti
Toyota Etios Liva,2014,270000,55000,Petrol,Toyota
Hyundai i20 Sportz,2011,350000,33333,Diesel,Hyundai
Chevrolet Spark,2012,158400,33600,Petrol,Chevrolet
Maruti Suzuki Alto,2017,350000,5600,Petrol,Maruti
Nissan Micra XV,2011,179000,41000,Petrol,Nissan
Maruti Suzuki Swift,2007,125000,70000,Petrol,Maruti
Maruti Suzuki Alto,2018,200000,7500,Petrol,Maruti
Honda Amaze 1.5,2013,299000,45000,Diesel,Honda
Maruti Suzuki Alto,2015,220000,38000,Petrol,Maruti
Chevrolet Beat,2015,150000,30000,Petrol,Chevrolet
Honda City 1.5,2010,285000,35000,Petrol,Honda
Ford EcoSport Trend,2016,830000,24330,Diesel,Ford
Hyundai i20 Asta,2009,210000,65480,Petrol,Hyundai
Maruti Suzuki Swift,2013,340000,41000,Petrol,Maruti
Tata Indica V2,2006,90000,20000,Petrol,Tata
Hindustan Motors Ambassador,2000,70000,200000,Diesel,Hindustan
Toyota Corolla Altis,2010,289999,70000,Petrol,Toyota
Toyota Corolla Altis,2012,349999,59000,Petrol,Toyota
Toyota Innova 2.5,2012,849999,99000,Diesel,Toyota
Volkswagen Jetta Highline,2014,749999,46000,Diesel,Volkswagen
Volkswagen Polo Comfortline,2015,399999,2800,Petrol,Volkswagen
Volkswagen Polo,2014,274999,32000,Petrol,Volkswagen
Mahindra Scorpio,2015,984999,22000,Diesel,Mahindra
Renault Duster,2014,449999,50000,Diesel,Renault
Honda Amaze,2015,344999,22000,Petrol,Honda
Nissan Sunny,2012,224999,45000,Petrol,Nissan
Hyundai Elite i20,2018,599999,21000,Petrol,Hyundai
Renault Kwid,2016,244999,11000,Petrol,Renault
Renault Duster,2013,399999,41000,Diesel,Renault
Ford EcoSport,2017,489999,39000,Petrol,Ford
Renault Duster,2014,474999,50000,Diesel,Renault
Mahindra Scorpio VLX,2011,499999,66000,Diesel,Mahindra
Maruti Suzuki Alto,2018,310000,3000,Petrol,Maruti
Chevrolet Spark LT,2010,85000,45000,Petrol,Chevrolet
Datsun Redi GO,2016,245000,7000,Petrol,Datsun
Maruti Suzuki Swift,2010,189500,38500,Diesel,Maruti
Fiat Punto Emotion,2012,169500,37200,Diesel,Fiat
Maruti Suzuki Swift,2010,159500,43200,Diesel,Maruti
Toyota Etios GD,2013,275000,24800,Petrol,Toyota
Hyundai i20 Sportz,2014,370000,60000,Diesel,Hyundai
Hyundai i10 Sportz,2010,168000,45872,Petrol,Hyundai
Chevrolet Beat LT,2011,150000,40000,Diesel,Chevrolet
Chevrolet Beat LS,2011,145000,45000,Diesel,Chevrolet
Chevrolet Beat LT,2012,98500,38000,Diesel,Chevrolet
Mahindra Scorpio VLX,2014,699000,50000,Diesel,Mahindra
